timestamp,ride_name,wait_time,GUEST_CARRIED,CAPACITY,availability
2022-07-19 20:00:00,Vertical Drop,0,0.0,0.0,False
2022-07-19 17:30:00,Crazy Dance,0,0.0,0.0,False
2022-07-19 15:00:00,Spinning Coaster,30,246.0,526.25,True
2022-07-19 13:45:00,Flying Coaster,30,444.0,756.0,True
2022-07-19 11:15:00,Himalaya Ride,0,0.0,0.0,False
2022-07-19 12:15:00,Crazy Dance,0,0.0,0.0,False
2022-07-19 13:00:00,Rapids Ride,25,0.0,330.25,False
2022-07-19 22:00:00,Oz Theatre,0,0.0,0.0,False
2022-07-19 14:15:00,Bumper Cars,15,141.0,254.749,True
2022-07-19 12:45:00,Water Ride,25,151.0,247.001,True
2022-07-19 22:45:00,Merry Go Round,5,19.0,484.0,True
2022-07-19 13:00:00,Bungee Jump,35,217.0,306.75,True
2022-07-19 19:15:00,Water Ride,25,131.0,247.001,True
2022-07-19 15:45:00,Vertical Drop,0,0.0,0.0,False
2022-07-19 19:45:00,Flying Coaster,5,489.0,756.0,True
2022-07-19 20:45:00,Inverted Coaster,0,0.0,0.0,False
2022-07-19 09:00:00,Go-Karts,10,246.0,450.5,True
2022-07-19 19:30:00,Swing Ride,50,78.0,242.25,True
2022-07-19 21:15:00,Go-Karts,25,368.0,450.5,True
2022-07-19 12:30:00,Free Fall,75,57.0,134.749,True
2022-07-19 19:30:00,Rapids Ride,25,0.0,330.25,False
2022-07-19 19:30:00,Go-Karts,35,281.0,450.5,True
2022-07-19 21:30:00,Flying Coaster,10,435.0,756.0,True
2022-07-19 16:45:00,Zipline,45,0.0,101.25,False
2022-07-19 20:00:00,Dizzy Dropper,10,110.0,213.251,True
2022-07-19 13:00:00,Oz Theatre,10,144.0,387.5,True
2022-07-19 09:45:00,Go-Karts,20,353.0,450.5,True
2022-07-19 11:30:00,Swing Ride,55,14.0,242.25,True
2022-07-19 16:45:00,Himalaya Ride,0,0.0,0.0,False
2022-07-19 19:45:00,Swing Ride,50,148.0,242.25,True
